,h1b_name,on_job_board,company_size
52,GOOGLE LLC,google,large
63,SNAP INC.,snap,small
73,"ZS ASSOCIATES, INC.",zs,large
85,SHOPIFY (USA) INC.,shopify,large
86,CAPGEMINI AMERICA INC,capgemini,large
88,RAPID RATINGS INTERNATIONAL INC.,rapid7,large
103,"PINTEREST, INC.",pinterest,medium
112,APTIVA CORP.,aptiv,large
131,"METLIFE GROUP, INC.",metlife,small
147,"SPECTRUM LABS, INC.",spectrum,large
151,"UBER TECHNOLOGIES, INC.",uber,large
172,"GUIDEPOINT GLOBAL, LLC.",guidepoint,medium
200,APTIVA CORP,aptiv,large
205,"MCKINSEY & COMPANY, INC. UNITED STATES",mckinsey,large
210,"AMAZON WEB SERVICES, INC.",amazon,large
216,"MOODY'S ANALYTICS, INC.",moodys,large
238,ADOBE INC.,adobe,large
242,"ZENDESK, INC.",zendesk,large
292,OPENDOOR LABS INC.,opendoor,large
297,"Discovery Communications, LLC",discover,large
299,TRADEWEB MARKETS LLC,tradeweb,medium
302,"ATLASSIAN, INC.",atlassian,large
312,"MOODY'S INVESTORS SERVICE, INC.",moodys,large
323,MASTERCARD INTERNATIONAL INCORPORATED,mastercard,large
335,"Meta Platforms, Inc.",meta,large
371,"PAYPAL, INC.",paypal,large
383,CAPITAL GROUP COMPANIES GLOBAL,icapital,medium
413,"GoodRx, Inc.",goodrx,large
417,"CAPITAL ONE SERVICES, LLC",icapital,medium
419,"VIA TRANSPORTATION, INC.",via,large
435,"DIALPAD, INC.",dialpad,small
441,"PEPSICO, INC.",pepsico,large
458,"TWITCH INTERACTIVE, INC.",twitch,medium
483,AMAZON ADVERTISING LLC,amazon,large
485,"CAPITAL ONE, NATIONAL ASSOCIATION",icapital,medium
497,"AMAZON DEVELOPMENT CENTER U.S., INC.",amazon,large
511,"TWITTER, INC.",twitter,small
516,UBS FINANCIAL SERVICES INC.,ubs,large
532,SOCURE INC.,socure,small
534,UBS ASSET MANAGEMENT AMERICAS INC,ubs,large
540,"AMAZON DEVELOPMENT CENTER U.S., INC. ",amazon,large
549,"MOODY'S SHARED SERVICES, INC.",moodys,large
551,DELOITTE & TOUCHE LLP,deloitte,large
